 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.20090E-02      -0.10749E-01      -0.12513E+00       0.19940E+01      -0.62850E-01      -0.29639E+01
      0      1      -0.44098E-01       0.30004E-01      -0.45292E-01       0.86851E+00      -0.11587E-01      -0.14375E+01
      0      1      -0.65719E-01       0.28478E-02       0.14199E+00       0.17620E+01       0.95351E-01      -0.52992E+00
      0      1      -0.32850E-01       0.19430E-01       0.13480E+00       0.24213E+01      -0.79732E-01       0.20845E+01
      0      1       0.40591E-01       0.90039E-02      -0.10549E+00       0.34533E+00      -0.25348E+00      -0.13183E+00
      0      1      -0.83478E-01      -0.16220E-01       0.49521E-01       0.18177E+01       0.12471E+00       0.18584E+00
      0      1      -0.93083E-01      -0.15960E-01      -0.29328E-01       0.18472E+01      -0.60099E-01      -0.11196E+01
      0      1       0.40363E-01       0.27586E-01      -0.40071E-01       0.45301E+00       0.19236E+00      -0.81277E+00
      0      1       0.64249E-01       0.17340E-01       0.68824E-01      -0.32478E+00      -0.13348E+00      -0.23886E+01
      0      1      -0.15660E-01      -0.14393E-01       0.20818E+00       0.19182E+01       0.41894E-03      -0.14660E-01
      0      1      -0.11549E-01       0.29457E-01      -0.88327E-01       0.48826E+00       0.16530E+00       0.21216E+00
      0      1       0.47974E-01       0.24441E-01       0.69959E-01      -0.21186E+01      -0.21468E+00      -0.24523E+00
      0      1      -0.63898E-01      -0.42022E-02      -0.11245E+00       0.15074E+00      -0.13161E+00      -0.34235E+00
      0      1      -0.30919E-01       0.23238E-01      -0.20511E+00      -0.10316E+01       0.29830E-01      -0.66585E+00
      0      1       0.38186E-01       0.16333E-01      -0.11852E+00      -0.15828E+01      -0.94626E-01       0.30164E+01
      0      1       0.13591E-01       0.22345E-02      -0.25051E+00       0.12743E+01       0.10391E+00       0.24779E+01
      0      1      -0.32963E-01      -0.17666E-01      -0.25461E+00      -0.29685E+01       0.15164E+00       0.47903E+00
      0      1       0.92424E-02      -0.90304E-02      -0.14691E+00      -0.28795E+00      -0.29328E+00      -0.28314E+01
      0      1      -0.25767E-01      -0.39624E-02      -0.18304E+00      -0.20462E+01       0.22935E+00       0.34533E+01
      0      1       0.28842E-01       0.22025E-01      -0.18209E+00       0.11931E+01      -0.18136E+00      -0.12897E+01
      0      1      -0.24603E-01      -0.17442E-01       0.33541E+00       0.15534E+01       0.51148E-02      -0.12982E+01
      0      1      -0.44494E-01      -0.91582E-02       0.16470E+00       0.34933E+01       0.16884E+00      -0.40426E+00
      0      1       0.31864E-01       0.11107E-01       0.27389E+00      -0.13443E+01       0.50153E-01       0.23977E+00
      0      1      -0.69386E-01      -0.15426E-01      -0.15778E+00      -0.66597E-01       0.26170E+00       0.26380E+01
      0      1      -0.35460E-01      -0.43563E-01       0.13738E+00       0.15765E+01      -0.12248E+00      -0.20406E+00
      0      1      -0.70441E-01      -0.23595E-01      -0.10769E+00      -0.45952E+00       0.55691E-01       0.28522E+01
      0      1      -0.46391E-02      -0.21394E-01       0.22304E+00       0.43526E+01       0.16168E-01       0.17267E+00
      0      1       0.60445E-01       0.11109E-01       0.11408E+00      -0.20469E+01       0.13688E+00       0.20171E+01
      0      1      -0.26134E-01      -0.24633E-02       0.33663E-01       0.21185E+01      -0.79559E-01      -0.26143E+01
      0      1      -0.14101E-01       0.27729E-02      -0.24280E+00      -0.45016E+01      -0.72244E-01      -0.17062E+01
      0      1       0.28382E-01      -0.68779E-02      -0.30883E+00      -0.25594E+01       0.14181E+00      -0.29403E+00
      0      1      -0.32220E-01      -0.53677E-02      -0.29003E+00      -0.82553E+00       0.42412E-01      -0.12755E+01
      0      1       0.16510E-01      -0.34224E-02      -0.50362E-01       0.17919E+01       0.23799E+00       0.13455E+01
      0      1      -0.72662E-02      -0.59988E-02       0.21104E-01      -0.20236E+01       0.14796E+00       0.13694E+01
      0      1       0.25002E-01      -0.37402E-01       0.10800E+00       0.18816E+01      -0.13836E+00      -0.18368E+01
      0      1      -0.26471E-01       0.11331E-01      -0.40289E-01      -0.37202E+00      -0.22399E+00      -0.14684E+01
      0      1       0.42555E-04       0.15223E-01       0.56619E-01      -0.15649E+01       0.45527E-01      -0.17694E+01
      0      1       0.67691E-02      -0.42935E-02       0.14805E+00      -0.28657E+01      -0.58052E-01      -0.68663E-01
      0      1      -0.80559E-01      -0.13560E-01      -0.39549E-01       0.46475E-01       0.13752E+00       0.79276E+00
      0      1      -0.37743E-01      -0.19413E-01      -0.29047E+00      -0.31376E+01      -0.96995E-01      -0.18899E+01
      0      1       0.70276E-01       0.35323E-01       0.13875E+00       0.12084E+01      -0.92066E-01      -0.88630E+00
      0      1       0.49587E-01      -0.89074E-02       0.16806E+00       0.93504E+00      -0.72733E-01       0.19619E+01
      0      1       0.25759E-01      -0.33916E-01      -0.26158E+00      -0.15701E+01       0.42406E-01      -0.83533E-01
      0      1      -0.14184E-01       0.13856E-01       0.13735E+00      -0.76557E+00      -0.61653E-01       0.15601E+01
      0      1      -0.87194E-01      -0.10586E-01      -0.21958E+00      -0.27341E+01       0.11721E+00       0.52684E-01
      0      1      -0.25702E-01       0.16113E-01      -0.48031E-01      -0.28138E+01       0.11862E+00      -0.13656E+01
      0      1       0.17598E-01       0.74317E-02      -0.86446E-01       0.23895E+01       0.22236E+00       0.31876E+01
      0      1       0.86459E-01      -0.11755E-01      -0.13328E+00      -0.27174E+00       0.89467E-01      -0.47215E+00
      0      1      -0.54499E-01      -0.40604E-01      -0.57772E-01      -0.55151E+00      -0.19444E+00      -0.20752E+01
      0      1       0.91222E-01       0.10237E-01       0.94060E-01       0.25846E+01       0.31243E-01       0.15838E+00
